word,count,percent frequency
,71,19.722221
word,19,5.2777777
frequency,13,3.6111112
new,12,3.3333335
String,10,2.777778
writer,8,2.2222223
outputData,7,1.9444445
wordList,7,1.9444445
FileWriter,7,1.9444445
Integer,7,1.9444445
inputData,6,1.6666667
map,5,1.388889
IOException,5,1.388889
java,4,1.1111112
write,4,1.1111112
to,4,1.1111112
ParserException,4,1.1111112
void,4,1.1111112
list,4,1.1111112
LinkedList,4,1.1111112
wordsCount,4,1.1111112
private,4,1.1111112
import,4,1.1111112
for,4,1.1111112
public,4,1.1111112
fileName,3,0.8333334
catch,3,0.8333334
in,3,0.8333334
io,3,0.8333334
file,3,0.8333334
close,3,0.8333334
e,3,0.8333334
Statistics,3,0.8333334
t,3,0.8333334
throw,3,0.8333334
data,3,0.8333334
HashMap,3,0.8333334
create,3,0.8333334
add,3,0.8333334
count,3,0.8333334
entry,3,0.8333334
null,3,0.8333334
try,3,0.8333334
File,3,0.8333334
can,3,0.8333334
of,3,0.8333334
put,2,0.5555556
outputFile,2,0.5555556
percentFrequency,2,0.5555556
Statistic,2,0.5555556
assert,2,0.5555556
get,2,0.5555556
iterate,2,0.5555556
words,2,0.5555556
TreeMap,2,0.5555556
n,2,0.5555556
float,2,0.5555556
pairs,2,0.5555556
throws,2,0.5555556
printWord,2,0.5555556
convert,1,0.2777778
output,1,0.2777778
merge,1,0.2777778
fileWriter,1,0.2777778
if,1,0.2777778
method,1,0.2777778
is,1,0.2777778
printData,1,0.2777778
it,1,0.2777778
0,1,0.2777778
1,1,0.2777778
field,1,0.2777778
util,1,0.2777778
outputMap,1,0.2777778
invalid,1,0.2777778
formatting,1,0.2777778
methods,1,0.2777778
increment,1,0.2777778
sum,1,0.2777778
current,1,0.2777778
Entry,1,0.2777778
a,1,0.2777778
printing,1,0.2777778
help,1,0.2777778
such,1,0.2777778
s,1,0.2777778
descendingKeySet,1,0.2777778
getKey,1,0.2777778
entrySet,1,0.2777778
constructor,1,0.2777778
makeOutputData,1,0.2777778
fields,1,0.2777778
addWord,1,0.2777778
update,1,0.2777778
percent,1,0.2777778
flush,1,0.2777778
class,1,0.2777778
CSV,1,0.2777778
int,1,0.2777778
prints,1,0.2777778
100,1,0.2777778
getValue,1,0.2777778
with,1,0.2777778
print,1,0.2777778
